name,category,scope,definition,description,documentation,level,group,Sharpe_mean,Fitness_mean,rank,Sharpe,Fitness
ts_product,Time Series,['REGULAR'],"ts_product(x, d)",Returns product of x for the past d days,/operators/ts_product,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,5.4878273314508945,0.87,0.73
ts_std_dev,Time Series,['REGULAR'],"ts_std_dev(x, d)",Returns standard deviation of x for the past d days,,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,1.5030982864657871,0.36,0.15
ts_backfill,Time Series,['REGULAR'],"ts_backfill(x,lookback = d, k=1, ignore=""NAN"")","Backfill is the process of replacing the NAN or 0 values by a meaningful value (i.e., a first non-NaN value)",/operators/ts_backfill,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,1.6364522492554054,0.4,0.16
days_from_last_change,Time Series,['REGULAR'],days_from_last_change(x),Amount of days since last change of x,,ALL,Time_Series_1,0.475,0.35,2.0,0.475,0.35
last_diff_value,Time Series,['REGULAR'],"last_diff_value(x, d)",Returns last x value not equal to current x value from last d days,,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,,,
ts_scale,Time Series,['REGULAR'],"ts_scale(x, d, constant = 0)","Returns (x - ts_min(x, d)) / (ts_max(x, d) - ts_min(x, d)) + constant. This operator is similar to scale down operator but acts in time series space",/operators/ts_scale,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,1.3037713224770817,0.41,0.09
ts_step,Time Series,['REGULAR'],ts_step(1),Returns days' counter,,ALL,Time_Series_ts_step,0.47,0.565,2.0,0.47,0.565
ts_sum,Time Series,['REGULAR'],"ts_sum(x, d)",Sum values of x for the past d days.,,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,2.1141530963524544,0.46,0.23
ts_av_diff,Time Series,['REGULAR'],"ts_av_diff(x, d)","Returns x - tsmean(x, d), but deals with NaNs carefully. That is NaNs are ignored during mean computation",/operators/ts_av_diff,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,1.7264611457084285,0.48,0.14500000000000002
ts_mean,Time Series,['REGULAR'],"ts_mean(x, d)",Returns average value of x for the past d days.,,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,1.7698062120450238,0.44,0.17
ts_arg_max,Time Series,['REGULAR'],"ts_arg_max(x, d)","Returns the relative index of the max value in the time series for the past d days. If the current day has the max value for the past d days, it returns 0. If previous day has the max value for the past d days, it returns 1",/operators/ts_arg_max,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,,,
ts_rank,Time Series,['REGULAR'],"ts_rank(x, d, constant = 0)","Rank the values of x for each instrument over the past d days, then return the rank of the current value + constant. If not specified, by default, constant = 0.",,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,1.5730940316404285,0.54,0.09
ts_delay,Time Series,['REGULAR'],"ts_delay(x, d)",Returns x value d days ago,,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,2.0546164855142535,0.48,0.21
ts_quantile,Time Series,['REGULAR'],"ts_quantile(x,d, driver=""gaussian"" )","It calculates ts_rank and apply to its value an inverse cumulative density function from driver distribution. Possible values of driver (optional ) are ""gaussian"", ""uniform"", ""cauchy"" distribution where ""gaussian"" is the default.",,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,3.49556337755773,0.81,0.36
ts_count_nans,Time Series,['REGULAR'],"ts_count_nans(x ,d)",Returns the number of NaN values in x for the past d days,,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,,,
ts_covariance,Time Series,['REGULAR'],"ts_covariance(y, x, d)",Returns covariance of y and x for the past d days,,ALL,Time_Series_3,0.27,0.375,,,
ts_decay_linear,Time Series,['REGULAR'],"ts_decay_linear(x, d, dense = false)",Returns the linear decay on x for the past d days. Dense parameter=false means operator works in sparse mode and we treat NaN as 0. In dense mode we do not.,/operators/ts_decay_linear,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,0.6175917688469423,0.225,0.03
ts_arg_min,Time Series,['REGULAR'],"ts_arg_min(x, d)","Returns the relative index of the min value in the time series for the past d days; If the current day has the min value for the past d days, it returns 0; If previous day has the min value for the past d days, it returns 1.",/operators/ts_arg_min,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,,,
ts_regression,Time Series,['REGULAR'],"ts_regression(y, x, d, lag = 0, rettype = 0)",Returns various parameters related to regression function,/operators/ts_regression,ALL,Time_Series_3,0.27,0.375,1.805925925925926,0.07,0.58
kth_element,Time Series,['REGULAR'],"kth_element(x, d, k)",Returns K-th value of input by looking through lookback days. This operator can be used to backfill missing data if k=1,/operators/kth_element,ALL,Time_Series_kth_ele,,,,,
hump,Time Series,['REGULAR'],"hump(x, hump = 0.01)",Limits amount and magnitude of changes in input (thus reducing turnover),/operators/hump,ALL,Time_Series_hump,,,,,
ts_delta,Time Series,['REGULAR'],"ts_delta(x, d)","Returns x - ts_delay(x, d)",,ALL,Time_Series_2,0.4826923076923077,0.1980769230769231,1.6895524697327196,0.45,0.15
winsorize,Cross Sectional,['REGULAR'],"winsorize(x, std=4)","Winsorizes x to make sure that all values in x are between the lower and upper limits, which are specified as multiple of std.",,ALL,Cross_Sectional_1,0.5283333333333333,0.20666666666666667,1.4829042434110105,0.4,0.15
rank,Cross Sectional,['REGULAR'],"rank(x, rate=2)","Ranks the input among all the instruments and returns an equally distributed number between 0.0 and 1.0. For precise sort, use the rate as 0",/operators/rank,ALL,Cross_Sectional_1,0.5283333333333333,0.20666666666666667,1.7605576472982598,0.47,0.18
vector_neut,Cross Sectional,['REGULAR'],"vector_neut(x, y)","For given vectors x and y, it finds a new vector x* (output) such that x* is orthogonal to y",/operators/vector_neut,,Cross_Sectional_2,,,,,
zscore,Cross Sectional,['REGULAR'],zscore(x),Z-score is a numerical measurement that describes a value's relationship to the mean of a group of values. Z-score is measured in terms of standard deviations from the mean,/operators/zscore,ALL,Cross_Sectional_1,0.5283333333333333,0.20666666666666667,1.0316983820087515,0.315,0.09
scale,Cross Sectional,['REGULAR'],"scale(x, scale=1, longscale=1, shortscale=1)",Scales input to booksize. We can also scale the long positions and short positions to separate scales by mentioning additional parameters to the operator,/operators/scale,ALL,Cross_Sectional_1,0.5283333333333333,0.20666666666666667,1.1568637427495676,0.33,0.11
normalize,Cross Sectional,['REGULAR'],"normalize(x, useStd = false, limit = 0.0)","Calculates the mean value of all valid alpha values for a certain date, then subtracts that mean from each element",/operators/normalize,ALL,Cross_Sectional_1,0.5283333333333333,0.20666666666666667,1.5586140225908212,0.44,0.15
quantile,Cross Sectional,['REGULAR'],"quantile(x, driver = gaussian, sigma = 1.0)","Rank the raw vector, shift the ranked Alpha vector, apply distribution (gaussian, cauchy, uniform). If driver is uniform, it simply subtract each Alpha value with the mean of all Alpha values in the Alpha vector",/operators/quantile,ALL,Cross_Sectional_1,0.5283333333333333,0.20666666666666667,5.00936196194159,1.2149999999999999,0.56
vec_sum,Vector,['REGULAR'],vec_sum(x),Sum of vector field x,,ALL,Vector_1,0.36,0.07,,,
vec_avg,Vector,['REGULAR'],vec_avg(x),Taking mean of the vector field x,,ALL,Vector_1,0.36,0.07,2.0,0.36,0.07
bucket,Transformational,['REGULAR'],"bucket(rank(x), range=""0, 1, 0.1"" or buckets = ""2,5,6,7,10"")","Convert float values into indexes for user-specified buckets. Bucket is useful for creating group values, which can be passed to GROUP as input",/operators/bucket,ALL,Transformational_bucket,0.585,0.15,2.0,0.585,0.15
trade_when,Transformational,['REGULAR'],"trade_when(x, y, z)",Used in order to change Alpha values only under a specified condition and to hold Alpha values in other cases. It also allows to close Alpha positions (assign NaN values) under a specified condition,/operators/trade_when,ALL,Transformational_trade_when,0.0,0.0,,0.0,0.0
group_mean,Group,['REGULAR'],"group_mean(x, weight, group)",All elements in group equals to the mean,/operators/group_mean,ALL,Group_3_1,0.43,0.11,2.0,0.43,0.11
group_rank,Group,['REGULAR'],"group_rank(x, group)",Each elements in a group is assigned the corresponding rank in this group,/operators/group_rank,ALL,Group_2,0.40874999999999995,0.20500000000000002,2.7480420675766393,0.5549999999999999,0.28500000000000003
group_backfill,Group,['REGULAR'],"group_backfill(x, group, d, std = 4.0)","If a certain value for a certain date and instrument is NaN, from the set of same group instruments, calculate winsorized mean of all non-NaN values over last d days",/operators/group_backfill,ALL,Group_3_2,,,,,
group_scale,Group,['REGULAR'],"group_scale(x, group)",Normalizes the values in a group to be between 0 and 1. (x - groupmin) / (groupmax - groupmin),,ALL,Group_2,0.40874999999999995,0.20500000000000002,2.247035130901768,0.42,0.25
group_zscore,Group,['REGULAR'],"group_zscore(x, group)",Calculates group Z-score - numerical measurement that describes a value's relationship to the mean of a group of values. Z-score is measured in terms of standard deviations from the mean. zscore = (data - mean) / stddev of x for each instrument within its group.,,ALL,Group_2,0.40874999999999995,0.20500000000000002,1.0994256731558143,0.25,0.1
group_neutralize,Group,['REGULAR'],"group_neutralize(x, group)","Neutralizes Alpha against groups. These groups can be subindustry, industry, sector, country or a constant",/operators/group_neutralize,ALL,Group_2,0.40874999999999995,0.20500000000000002,1.9054971283657791,0.41,0.185
