alpha,sharpe,turnover,fitness,returns,drawdown,margin,longCount,shortCount,weight,sub_univese,universe,delay,decay,neutralization,truncation,score,code
"rank(ts_rank(implied_volatility_call_720, 30))",1.36,0.3744,0.56,0.0625,0.0486,0.000334,1400,1410,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-424.0,nGmVd8w
"rank(ts_rank(implied_volatility_put_720, 30))",1.24,0.3654,0.48,0.0557,0.0441,0.000305,1407,1404,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-427.0,ra9Xwl1
"rank(ts_rank(implied_volatility_put_150, 30))",1.55,0.3556,0.72,0.0762,0.0511,0.000429,1407,1404,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-406.0,z7gpn6V
"rank(ts_rank(implied_volatility_put_20, 30))",1.28,0.3738,0.53,0.063,0.0881,0.000337,1393,1417,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-424.0,VQZJbXA
"rank(ts_rank(implied_volatility_call_360, 30))",1.34,0.368,0.56,0.0636,0.0415,0.000346,1402,1409,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-465.0,Wr3mQYN
"rank(ts_rank(parkinson_volatility_60, 30))",0.76,0.2163,0.33,0.0411,0.0717,0.00038,1445,1469,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-172.0,x7Va8rW
"rank(ts_rank(parkinson_volatility_10, 30))",0.86,0.2936,0.34,0.0454,0.081,0.00031,1450,1463,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-276.0,x7VaanN
"rank(ts_rank(parkinson_volatility_30, 30))",0.44,0.2184,0.14,0.0224,0.0755,0.000205,1454,1459,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-218.0,AXedP7g
"rank(ts_rank(parkinson_volatility_120, 30))",0.08,0.2155,0.01,0.0046,0.1641,4.3e-05,1459,1454,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,,w73VaRl
"rank(ts_rank(parkinson_volatility_150, 30))",-0.43,0.2147,-0.15,-0.0253,0.2112,-0.000236,1465,1448,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-230.0,dJYw3Xv
"rank(ts_rank(fnd6_optvolq, 30))",-0.51,0.1638,-0.29,-0.0547,0.2933,-0.000668,212,250,FAIL,FAIL,TOP3000,1,5,INDUSTRY,0.05,-196.0,QROdNXr
"rank(ts_rank(fnd6_optvol, 30))",-0.11,0.1457,-0.03,-0.0124,0.2625,-0.00017,426,754,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,,QROdoJw
"trade_when((ts_rank(parkinson_volatility_120, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((fnd2_a_allfdbflaccrwriteoffs / cap), 5), 90), sector), 10), -1)",1.1,0.0263,0.72,0.0542,0.0525,0.004123,908,1748,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-168.0,XZVXppm
"trade_when((ts_rank(parkinson_volatility_120, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((receivable / cap), 5), 90), sector), 10), -1)",1.49,0.0568,1.02,0.0585,0.0595,0.002059,1399,1286,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-72.0,2V9Pl3P
"trade_when((ts_rank(parkinson_volatility_120, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((fnd6_cptnewqv1300_rectq / cap), 5), 90), sector), 10), -1)",1.49,0.0568,1.02,0.0585,0.0595,0.002059,1399,1286,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-72.0,VQZK5wA
"trade_when((ts_rank(parkinson_volatility_120, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((fnd6_newa2v1300_rect / cap), 5), 90), sector), 10), -1)",2.18,0.0598,1.94,0.0988,0.0307,0.003304,1388,1298,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-60.0,5KrNeoz
"trade_when((ts_rank(parkinson_volatility_120, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((fnd6_newqv1300_recdq / cap), 5), 90), sector), 10), -1)",0.86,0.0309,0.38,0.0249,0.0626,0.001614,942,1709,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-52.0,kpvk5z6
"trade_when((ts_rank(parkinson_volatility_120, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((fnd6_recco / cap), 5), 90), sector), 10), -1)",2.19,0.0489,1.78,0.0826,0.0258,0.003377,1518,1149,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-132.0,ojRwYNk
"trade_when((ts_rank(parkinson_volatility_120, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((fnd6_newqv1300_rectrq / cap), 5), 90), sector), 10), -1)",1.45,0.0492,0.93,0.0512,0.0402,0.002082,1314,1344,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-16.0,Y38wARo
"trade_when((ts_rank(parkinson_volatility_120, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((fnd6_newqv1300_rectoq / cap), 5), 90), sector), 10), -1)",1.33,0.0403,0.79,0.0441,0.0541,0.002186,1476,1181,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-62.0,x7V9OYp
"trade_when((ts_rank(parkinson_volatility_120, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((mdl77_2gdna_indrelrecd_ / cap), 5), 90), sector), 10), -1)",0.25,0.0234,0.1,0.0197,0.2825,0.001679,654,1819,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,,z7gQQVR
"trade_when((ts_rank(parkinson_volatility_120, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((mdl77_2earningsqualityfactor_indrelrecd_ / cap), 5), 90), sector), 10), -1)",1.22,0.0369,0.91,0.0688,0.0466,0.003729,1062,1423,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-244.0,x7V9QLp
"trade_when((ts_rank(parkinson_volatility_120, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((fnd6_rectr / cap), 5), 90), sector), 10), -1)",2.29,0.0529,1.96,0.0915,0.0288,0.003463,1342,1325,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-60.0,b0JVL0N
"trade_when((ts_rank(parkinson_volatility_120, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((mdl77_400_indrelrecd_ / cap), 5), 90), sector), 10), -1)",1.22,0.0369,0.91,0.0688,0.0466,0.003729,1062,1423,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-244.0,AXeYLpQ
"trade_when((ts_rank(parkinson_volatility_120, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((mdl77_earningsqualityfactor_indrelrecd_ / cap), 5), 90), sector), 10), -1)",1.22,0.0369,0.91,0.0688,0.0466,0.003729,1062,1423,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-244.0,ameMex6
"trade_when((ts_rank(parkinson_volatility_120, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((mdl77_oearningsqualityfactor_indrelrecd_ / cap), 5), 90), sector), 10), -1)",1.28,0.0373,0.97,0.0713,0.0506,0.003822,1071,1414,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-178.0,lwEknON
"trade_when((ts_rank(parkinson_volatility_120, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((fnd6_recd / pv13_revere_index_cap), 5), 90), sector), 10), -1)",1.02,0.0216,0.61,0.0448,0.0462,0.004149,1155,1488,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-125.0,ra9LXd3
"trade_when((ts_rank(parkinson_volatility_30, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((fnd6_recd / cap), 5), 90), sector), 10), -1)",1.42,0.0244,0.76,0.0361,0.0257,0.002964,1201,1438,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-5.0,b0JMQR6
"trade_when((ts_rank(parkinson_volatility_60, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((fnd6_recd / cap), 5), 90), sector), 10), -1)",1.26,0.0282,0.68,0.0362,0.0325,0.002568,1206,1436,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-5.0,lwE2WzO
"trade_when((ts_rank(parkinson_volatility_10, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((fnd6_recd / cap), 5), 90), sector), 10), -1)",1.2,0.0234,0.62,0.0334,0.0402,0.002862,1205,1488,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,-9.0,nGmovMx
"trade_when((ts_rank(fnd6_optvol, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((fnd6_recd / cap), 5), 90), sector), 10), -1)",-0.16,0.029,-0.04,-0.0076,0.1528,-0.000526,369,376,FAIL,FAIL,TOP3000,1,5,INDUSTRY,0.05,,KAv6Mqj
"trade_when((ts_rank(fnd6_optvolq, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((fnd6_recd / cap), 5), 90), sector), 10), -1)",-0.26,0.0244,-0.11,-0.0206,0.2848,-0.001682,339,428,FAIL,FAIL,TOP3000,1,5,INDUSTRY,0.05,,AXebXrQ
"trade_when((ts_rank(parkinson_volatility_90, 252) > 0.95), ts_decay_linear(group_rank(ts_rank(ts_delta((fnd6_recd / cap), 5), 90), sector), 10), -1)",1.19,0.0309,0.63,0.0355,0.0413,0.0023,1212,1457,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,37.0,nGmzal3
"ts_zscore((ts_sum((close < (ts_mean(((snt1_d1_stockrank + (low + close)) / 3), 20) - ts_std_dev(((snt1_d1_stockrank + (low + close)) / 3), 20))), 20) - ts_sum((close > (ts_mean(((snt1_d1_stockrank + (low + close)) / 3), 20) + ts_std_dev(((snt1_d1_stockrank + (low + close)) / 3), 20))), 20)), 240)",0.79,0.0926,0.49,0.0482,0.108,0.001041,567,609,PASS,FAIL,TOP3000,1,5,INDUSTRY,0.05,-104.0,QRO28Gr
"signed_power(group_neutralize(zscore((signed_power(rank(((vwap - close) / close)), 0.001) + (ts_backfill(fnd6_newqv1300_drcq, 252) / assets))), industry), 1.5)",1.53,0.0577,1.73,0.1592,0.1039,0.005517,521,1970,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,248.0,9589bRV
"signed_power(group_neutralize(zscore((signed_power(rank(((vwap - close) / close)), 0.001) + (ts_backfill(fnd6_txndba, 252) / assets))), industry), 1.5)",0.97,0.0722,0.91,0.1102,0.1476,0.003052,705,2072,FAIL,PASS,TOP3000,1,5,INDUSTRY,0.05,-233.0,kpvn0gg
"ts_zscore((ts_sum((close < (ts_mean(((fnd6_prch + (low + close)) / 3), 20) - ts_std_dev(((fnd6_prch + (low + close)) / 3), 20))), 20) - ts_sum((close > (ts_mean(((fnd6_prch + (low + close)) / 3), 20) + ts_std_dev(((fnd6_prch + (low + close)) / 3), 20))), 20)), 240)",0.18,0.0849,0.07,0.0169,0.2388,0.000399,1287,962,PASS,PASS,TOP3000,1,5,INDUSTRY,0.05,,JaonGKe
